תאריך,ספק,פריט,הוזמן,התקבל,פער,פעולה_שננקטה
2026-04-12,מאפיית שמש,קרואסון שוקולד,40,30,-10,סומן ביומן — מעקב להזמנה הבאה
2026-04-12,מאפיית שמש,מאפה גבינה,71,61,-10,סומן ביומן — מעקב להזמנה הבאה
2026-04-12,קפה ירוק,פולי ערביקה,5,5,0,תקין
2026-04-12,קפה ירוק,פולי רובוסטה,5,5,0,תקין
2026-04-13,חלב טוב,חלב 3%,17,17,0,תקין
2026-04-13,חלב טוב,חלב שיבולת שועל,16,16,0,תקין
2026-04-13,חלב טוב,חלב שקדים,19,19,0,תקין
2026-04-13,חלב טוב,חלב סויה,17,17,0,תקין
2026-04-13,חלב טוב,שמנת מתוקה,14,14,0,תקין
2026-04-14,מאפיית שמש,קרואסון חמאה,77,77,0,תקין
2026-04-14,מאפיית שמש,קרואסון שוקולד,66,66,0,תקין
2026-04-14,מאפיית שמש,מאפה גבינה,29,29,0,תקין
2026-04-16,חלב טוב,חלב 3%,24,24,0,תקין
2026-04-16,חלב טוב,חלב שיבולת שועל,22,18,-4,התקשרתי ליוסי — אמר שיש מחסור ארצי. השלמנו מסופר
2026-04-16,חלב טוב,חלב שקדים,9,9,0,תקין
2026-04-16,חלב טוב,חלב סויה,18,18,0,תקין
2026-04-16,חלב טוב,שמנת מתוקה,29,29,0,תקין
2026-04-16,מאפיית שמש,קרואסון חמאה,60,60,0,תקין
2026-04-16,מאפיית שמש,קרואסון שוקולד,37,37,0,תקין
2026-04-16,מאפיית שמש,מאפה גבינה,27,27,0,תקין
2026-04-18,מאפיית שמש,קרואסון חמאה,20,20,0,תקין
2026-04-18,מאפיית שמש,קרואסון שוקולד,54,54,0,תקין
2026-04-18,מאפיית שמש,מאפה גבינה,80,80,0,תקין
2026-04-19,חלב טוב,חלב 3%,13,13,0,תקין
2026-04-19,חלב טוב,חלב שיבולת שועל,25,16,-9,התקשרתי ליוסי — אמר שיש מחסור ארצי. השלמנו מסופר
2026-04-19,חלב טוב,חלב שקדים,9,7,-2,סומן ביומן — מעקב להזמנה הבאה
2026-04-19,חלב טוב,חלב סויה,30,30,0,תקין
2026-04-19,חלב טוב,שמנת מתוקה,17,17,0,תקין
2026-04-19,קפה ירוק,פולי ערביקה,6,6,0,תקין
2026-04-19,קפה ירוק,פולי רובוסטה,3,3,0,תקין
2026-04-20,מאפיית שמש,קרואסון חמאה,49,49,0,תקין
2026-04-20,מאפיית שמש,קרואסון שוקולד,65,65,0,תקין
2026-04-20,מאפיית שמש,מאפה גבינה,29,29,0,תקין
2026-04-22,חלב טוב,חלב 3%,19,19,0,תקין
2026-04-22,חלב טוב,חלב שיבולת שועל,18,15,-3,התקשרתי ליוסי — אמר שיש מחסור ארצי. השלמנו מסופר
2026-04-22,חלב טוב,חלב שקדים,23,23,0,תקין
2026-04-22,חלב טוב,חלב סויה,19,19,0,תקין
2026-04-22,חלב טוב,שמנת מתוקה,20,20,0,תקין
2026-04-22,מאפיית שמש,קרואסון חמאה,24,24,0,תקין
2026-04-22,מאפיית שמש,קרואסון שוקולד,57,57,0,תקין
2026-04-22,מאפיית שמש,מאפה גבינה,30,25,-5,סומן ביומן — מעקב להזמנה הבאה
2026-04-24,מאפיית שמש,קרואסון חמאה,57,57,0,תקין
2026-04-24,מאפיית שמש,קרואסון שוקולד,54,54,0,תקין
2026-04-24,מאפיית שמש,מאפה גבינה,24,24,0,תקין
2026-04-25,חלב טוב,חלב 3%,11,11,0,תקין
2026-04-25,חלב טוב,חלב שיבולת שועל,11,8,-3,התקשרתי ליוסי — אמר שיש מחסור ארצי. השלמנו מסופר
2026-04-25,חלב טוב,חלב שקדים,27,27,0,תקין
2026-04-25,חלב טוב,חלב סויה,20,13,-7,סומן ביומן — מעקב להזמנה הבאה
2026-04-25,חלב טוב,שמנת מתוקה,26,26,0,תקין
2026-04-26,מאפיית שמש,קרואסון חמאה,29,29,0,תקין
2026-04-26,מאפיית שמש,קרואסון שוקולד,56,56,0,תקין
2026-04-26,מאפיית שמש,מאפה גבינה,39,39,0,תקין
2026-04-26,קפה ירוק,פולי ערביקה,4,4,0,תקין
2026-04-26,קפה ירוק,פולי רובוסטה,5,5,0,תקין
2026-04-28,חלב טוב,חלב 3%,9,6,-3,סומן ביומן — מעקב להזמנה הבאה
2026-04-28,חלב טוב,חלב שיבולת שועל,19,19,0,תקין
2026-04-28,חלב טוב,חלב שקדים,15,15,0,תקין
2026-04-28,חלב טוב,חלב סויה,18,18,0,תקין
2026-04-28,חלב טוב,שמנת מתוקה,25,25,0,תקין
2026-04-28,מאפיית שמש,קרואסון חמאה,55,55,0,תקין
2026-04-28,מאפיית שמש,קרואסון שוקולד,38,38,0,תקין
2026-04-28,מאפיית שמש,מאפה גבינה,61,61,0,תקין
2026-04-30,מאפיית שמש,קרואסון חמאה,62,62,0,תקין
2026-04-30,מאפיית שמש,קרואסון שוקולד,71,71,0,תקין
2026-04-30,מאפיית שמש,מאפה גבינה,58,58,0,תקין
2026-05-01,חלב טוב,חלב 3%,24,24,0,תקין
2026-05-01,חלב טוב,חלב שיבולת שועל,15,11,-4,התקשרתי ליוסי — אמר שיש מחסור ארצי. השלמנו מסופר
2026-05-01,חלב טוב,חלב שקדים,15,15,0,תקין
2026-05-01,חלב טוב,חלב סויה,25,25,0,תקין
2026-05-01,חלב טוב,שמנת מתוקה,26,26,0,תקין
2026-05-02,מאפיית שמש,קרואסון חמאה,64,64,0,תקין
2026-05-02,מאפיית שמש,קרואסון שוקולד,74,74,0,תקין
2026-05-02,מאפיית שמש,מאפה גבינה,53,53,0,תקין
2026-05-03,קפה ירוק,פולי ערביקה,7,7,0,תקין
2026-05-03,קפה ירוק,פולי רובוסטה,6,6,0,תקין
2026-05-04,חלב טוב,חלב 3%,18,18,0,תקין
2026-05-04,חלב טוב,חלב שיבולת שועל,24,24,0,תקין
2026-05-04,חלב טוב,חלב שקדים,21,21,0,תקין
2026-05-04,חלב טוב,חלב סויה,9,9,0,תקין
2026-05-04,חלב טוב,שמנת מתוקה,26,26,0,תקין
2026-05-04,מאפיית שמש,קרואסון חמאה,23,23,0,תקין
2026-05-04,מאפיית שמש,קרואסון שוקולד,21,21,0,תקין
2026-05-04,מאפיית שמש,מאפה גבינה,24,24,0,תקין
2026-05-04,יעקב אספקה,כוסות קטנות,37,32,-5,סומן ביומן — מעקב להזמנה הבאה
2026-05-04,יעקב אספקה,כוסות גדולות take-away,78,78,0,תקין
2026-05-04,יעקב אספקה,מכסים,71,71,0,תקין
2026-05-04,יעקב אספקה,מפיות,6,6,0,תקין
2026-05-04,יעקב אספקה,סוכר לבן,3,3,0,תקין
2026-05-06,מאפיית שמש,קרואסון חמאה,73,73,0,תקין
2026-05-06,מאפיית שמש,קרואסון שוקולד,62,62,0,תקין
2026-05-06,מאפיית שמש,מאפה גבינה,23,23,0,תקין
2026-05-07,חלב טוב,חלב 3%,11,11,0,תקין
2026-05-07,חלב טוב,חלב שיבולת שועל,17,12,-5,התקשרתי ליוסי — אמר שיש מחסור ארצי. השלמנו מסופר
2026-05-07,חלב טוב,חלב שקדים,20,20,0,תקין
2026-05-07,חלב טוב,חלב סויה,21,21,0,תקין
2026-05-07,חלב טוב,שמנת מתוקה,18,18,0,תקין
2026-05-08,מאפיית שמש,קרואסון חמאה,60,60,0,תקין
2026-05-08,מאפיית שמש,קרואסון שוקולד,74,74,0,תקין
2026-05-08,מאפיית שמש,מאפה גבינה,36,36,0,תקין
2026-05-10,חלב טוב,חלב 3%,29,29,0,תקין
2026-05-10,חלב טוב,חלב שיבולת שועל,24,21,-3,התקשרתי ליוסי — אמר שיש מחסור ארצי. השלמנו מסופר
2026-05-10,חלב טוב,חלב שקדים,8,8,0,תקין
2026-05-10,חלב טוב,חלב סויה,24,24,0,תקין
2026-05-10,חלב טוב,שמנת מתוקה,17,14,-3,סומן ביומן — מעקב להזמנה הבאה
2026-05-10,מאפיית שמש,קרואסון חמאה,62,62,0,תקין
2026-05-10,מאפיית שמש,קרואסון שוקולד,27,27,0,תקין
2026-05-10,מאפיית שמש,מאפה גבינה,28,28,0,תקין
2026-05-10,קפה ירוק,פולי ערביקה,2,2,0,תקין
2026-05-10,קפה ירוק,פולי רובוסטה,2,2,0,תקין
2026-05-12,מאפיית שמש,קרואסון חמאה,69,69,0,תקין
2026-05-12,מאפיית שמש,קרואסון שוקולד,37,37,0,תקין
2026-05-12,מאפיית שמש,מאפה גבינה,23,23,0,תקין
2026-05-13,חלב טוב,חלב 3%,10,10,0,תקין
2026-05-13,חלב טוב,חלב שיבולת שועל,28,22,-6,התקשרתי ליוסי — אמר שיש מחסור ארצי. השלמנו מסופר
2026-05-13,חלב טוב,חלב שקדים,27,27,0,תקין
2026-05-13,חלב טוב,חלב סויה,11,11,0,תקין
2026-05-13,חלב טוב,שמנת מתוקה,16,16,0,תקין
2026-05-14,מאפיית שמש,קרואסון חמאה,61,61,0,תקין
2026-05-14,מאפיית שמש,קרואסון שוקולד,44,44,0,תקין
2026-05-14,מאפיית שמש,מאפה גבינה,56,56,0,תקין
2026-05-16,חלב טוב,חלב 3%,23,23,0,תקין
2026-05-16,חלב טוב,חלב שיבולת שועל,10,7,-3,התקשרתי ליוסי — אמר שיש מחסור ארצי. השלמנו מסופר
2026-05-16,חלב טוב,חלב שקדים,23,23,0,תקין
2026-05-16,חלב טוב,חלב סויה,19,19,0,תקין
2026-05-16,חלב טוב,שמנת מתוקה,28,28,0,תקין
2026-05-16,מאפיית שמש,קרואסון חמאה,25,25,0,תקין
2026-05-16,מאפיית שמש,קרואסון שוקולד,61,61,0,תקין
2026-05-16,מאפיית שמש,מאפה גבינה,62,62,0,תקין
2026-05-17,קפה ירוק,פולי ערביקה,7,7,0,תקין
2026-05-17,קפה ירוק,פולי רובוסטה,7,7,0,תקין
2026-05-18,מאפיית שמש,קרואסון חמאה,21,21,0,תקין
2026-05-18,מאפיית שמש,קרואסון שוקולד,24,24,0,תקין
2026-05-18,מאפיית שמש,מאפה גבינה,54,54,0,תקין
2026-05-19,חלב טוב,חלב 3%,8,8,0,תקין
2026-05-19,חלב טוב,חלב שיבולת שועל,9,9,0,תקין
2026-05-19,חלב טוב,חלב שקדים,29,21,-8,סומן ביומן — מעקב להזמנה הבאה
2026-05-19,חלב טוב,חלב סויה,10,10,0,תקין
2026-05-19,חלב טוב,שמנת מתוקה,8,8,0,תקין
2026-05-20,מאפיית שמש,קרואסון חמאה,28,28,0,תקין
2026-05-20,מאפיית שמש,קרואסון שוקולד,72,72,0,תקין
2026-05-20,מאפיית שמש,מאפה גבינה,73,73,0,תקין
2026-05-22,חלב טוב,חלב 3%,11,11,0,תקין
2026-05-22,חלב טוב,חלב שיבולת שועל,15,10,-5,התקשרתי ליוסי — אמר שיש מחסור ארצי. השלמנו מסופר
2026-05-22,חלב טוב,חלב שקדים,29,29,0,תקין
2026-05-22,חלב טוב,חלב סויה,26,26,0,תקין
2026-05-22,חלב טוב,שמנת מתוקה,14,14,0,תקין
2026-05-22,מאפיית שמש,קרואסון חמאה,27,27,0,תקין
2026-05-22,מאפיית שמש,קרואסון שוקולד,64,64,0,תקין
2026-05-22,מאפיית שמש,מאפה גבינה,79,79,0,תקין
2026-05-24,מאפיית שמש,קרואסון חמאה,59,45,-14,סומן ביומן — מעקב להזמנה הבאה
2026-05-24,מאפיית שמש,קרואסון שוקולד,20,20,0,תקין
2026-05-24,מאפיית שמש,מאפה גבינה,76,76,0,תקין
2026-05-24,קפה ירוק,פולי ערביקה,3,3,0,תקין
2026-05-24,קפה ירוק,פולי רובוסטה,5,5,0,תקין
2026-05-25,חלב טוב,חלב 3%,13,13,0,תקין
2026-05-25,חלב טוב,חלב שיבולת שועל,30,30,0,תקין
2026-05-25,חלב טוב,חלב שקדים,17,17,0,תקין
2026-05-25,חלב טוב,חלב סויה,14,14,0,תקין
2026-05-25,חלב טוב,שמנת מתוקה,25,25,0,תקין
2026-05-26,מאפיית שמש,קרואסון חמאה,33,33,0,תקין
2026-05-26,מאפיית שמש,קרואסון שוקולד,63,63,0,תקין
2026-05-26,מאפיית שמש,מאפה גבינה,62,62,0,תקין
